id;count;image_id;label;system:time_start;geometry;date;date_ymd;
11;8;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.771412503448387 39.76814941963179, -6.771051289744633 39.768149379774215, -6.771051289744632 39.76823858406646, -6.771229649482882 39.76823857880385, -6.771229649482883 39.76841690870657, -6.771412503448387 39.768416953740264, -6.771412503448387 39.76814941963179));13.01.2025 11:30;13.01.2025;
15;8;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.775724427907393 39.766802730439224, -6.775541643486361 39.766802766122666, -6.775541643486361 39.76670909997331, -6.775363271881698 39.76670911231885, -6.775363271881698 39.76680277849044, -6.775452416767982 39.76680273560627, -6.775452416767982 39.76698114694377, -6.775724427907393 39.76698114171212, -6.775724427907393 39.766802730439224));13.01.2025 11:30;13.01.2025;
29;8;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.783269208443194 39.764015816280185, -6.783090897300474 39.76401583655314, -6.783090897300474 39.76383741838195, -6.7829972473732525 39.7638374173359, -6.7829972473732525 39.76419417494921, -6.783269208443194 39.764194155635394, -6.783269208443194 39.764015816280185));13.01.2025 11:30;13.01.2025;
63;8;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.8015025152753354 39.860492930866755, -6.801413334598525 39.860492929170995, -6.801413334598526 39.860403707071214, -6.801145793302593 39.860403701489645, -6.8011457933025925 39.860492923621344, -6.801056613115451 39.860492921617315, -6.801056613115451 39.86058659691311, -6.801502515275336 39.860586527978974, -6.8015025152753354 39.860492930866755));13.01.2025 11:30;13.01.2025;
0000000000000000007f;8;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.806443201554086 39.834714816629855, -6.806354014096476 39.83471481612982, -6.806354014096475 39.834625634982935, -6.80626482676125 39.83462563439519, -6.806264826761251 39.83444281652211, -6.806086452457957 39.834442815071775, -6.806086452457957 39.834531996518244, -6.806175639548414 39.83453199727131, -6.806175639548414 39.834804074096475, -6.806443201554086 39.83480399763553, -6.806443201554086 39.834714816629855));13.01.2025 11:30;13.01.2025;
000000000000000000b3;8;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.814438360983575 39.84019510351851, -6.814259964254746 39.840195117568946, -6.814259964254746 39.840101412532896, -6.813992451836901 39.84010142819115, -6.813992451836901 39.840284305340674, -6.814438360983574 39.84028427554526, -6.814438360983575 39.84019510351851));13.01.2025 11:30;13.01.2025;
000000000000000000c9;8;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.818571955101612 39.755030719655, -6.818482751007841 39.75503072011868, -6.81848275100784 39.755124398773916, -6.818393547036371 39.755124399171734, -6.818393547036371 39.75530275606923, -6.818304424950533 39.7553027516049, -6.818304424950533 39.75539189073899, -6.818571955101613 39.755391894255986, -6.818571955101612 39.755030719655));13.01.2025 11:30;13.01.2025;
000000000000000000fd;8;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.833665968801073 39.81153642328471, -6.833572327768092 39.811536469274614, -6.833572327768093 39.81162560276824, -6.833304817750763 39.81162565347871, -6.833304817750763 39.81180845498594, -6.833572327768092 39.81180848239695, -6.833572327768092 39.81171481431872, -6.833665968801072 39.811714846493615, -6.833665968801073 39.81153642328471));13.01.2025 11:30;13.01.2025;
153;8;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.846508250417439 39.784046060107634, -6.846151527109327 39.784046079265096, -6.846151527109327 39.7839569070018, -6.846062285238546 39.78395693476495, -6.8460622852385455 39.78404610703892, -6.845879466572057 39.78404610540529, -6.845879466572057 39.78413973617592, -6.846508250417439 39.784139690799094, -6.846508250417439 39.784046060107634));13.01.2025 11:30;13.01.2025;
175;8;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.857740674470102 39.772278508095816, -6.857290296460645 39.77227853997068, -6.857290296460645 39.772461375159956, -6.857557904890539 39.77246135454391, -6.85755790489054 39.772372166747154, -6.857740674470102 39.77237215539939, -6.857740674470102 39.772278508095816));13.01.2025 11:30;13.01.2025;
0000000000000000017d;8;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.858186637664369 39.77210012471122, -6.857919026656996 39.77210014682769, -6.857919026656996 39.77227852299787, -6.858008202933177 39.77227849121577, -6.858008202933178 39.772372138485586, -6.858186637664369 39.77237214806439, -6.858186637664369 39.77210012471122));13.01.2025 11:30;13.01.2025;
000000000000000001cc;8;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.913434902648278 39.712990291775405, -6.913345650801623 39.71299028606791, -6.913345650801623 39.71307947532605, -6.913256480958682 39.7130794646724, -6.913256480958683 39.71326230618374, -6.91316288960104 39.713262324063756, -6.91316288960104 39.713351512948655, -6.913434902648278 39.713351511341585, -6.913434902648278 39.712990291775405));13.01.2025 11:30;13.01.2025;
1.00E+09;8;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-7.209251594398814 39.62387963864204, -7.209157996252132 39.6238796538677, -7.209157996252132 39.623790450305066, -7.208890444447404 39.623790456542125, -7.208890444447404 39.623968785220015, -7.209157996252132 39.62396885730136, -7.209157996252132 39.624057982220094, -7.209251594398814 39.624057966970796, -7.209251594398814 39.62387963864204));13.01.2025 11:30;13.01.2025;
000000000000000001eb;8;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-7.2097867019454345 39.62325088515441, -7.209697544474901 39.623250938341975, -7.209697544474901 39.623068061337754, -7.20960838712254 39.62306811442507, -7.20960838712254 39.622978909746216, -7.20951914764003 39.6229788894685, -7.20951914764003 39.62334009711908, -7.2097867019454345 39.62334008941751, -7.2097867019454345 39.62325088515441));13.01.2025 11:30;13.01.2025;
000000000000000001f7;8;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-7.340402730819367 39.778387465312605, -7.34022431859079 39.778387509187915, -7.34022431859079 39.778748674695684, -7.340402730819367 39.778748708901716, -7.340402730819367 39.778387465312605));13.01.2025 11:30;13.01.2025;
